Label,Line_0_1,Line_1_2,Line_2_3,Line_3_4,Line_0_5,Line_5_6,Line_6_7,Line_7_8,Line_0_9,Line_9_10,Line_10_11,Line_11_12,Line_0_13,Line_13_14,Line_14_15,Line_15_16,Line_0_17,Line_17_18,Line_18_19,Line_19_20
A,106.63,124.35,139.5,151.02,151.61,159.43,152.87,149.01,164.93,171.59,165.29,160.49,179.56,175.42,176.8,177.7,164.77,164.04,161.18,163.03
B,130.62,152.48,172.77,171.94,161.45,167.09,169.63,171.55,173.86,175.77,176.63,177.12,174.52,175.26,176.14,176.86,161.51,165.15,167.75,169.6
B,124.59,145.83,166.23,177.93,158.36,163.14,165.63,167.61,170.46,171.42,172.27,172.86,178.29,179.98,179.24,178.72,165.35,169.77,172.37,174.09
B,125.87,147.77,167.24,178.27,158.56,163.46,166.03,167.94,170.73,172.06,172.79,173.29,177.97,179.44,179.55,178.89,165.21,169.45,172.11,173.94
B,135.44,154.0,172.52,173.27,160.84,165.92,168.77,170.91,172.55,174.31,175.5,176.23,175.94,176.98,177.75,178.42,162.61,166.7,169.09,170.77
A,122.13,134.61,144.21,154.21,158.4,161.46,154.65,154.53,171.42,171.73,164.05,166.38,173.77,176.16,178.48,179.14,157.12,163.72,166.69,163.97
A,111.29,124.72,138.8,150.7,150.93,156.74,150.98,148.11,164.1,167.86,162.0,158.95,178.43,179.72,178.48,175.87,164.43,167.59,165.67,165.66
A,123.94,136.57,145.34,155.6,161.47,163.27,156.73,157.11,174.15,173.11,165.8,168.73,171.25,174.9,179.88,177.2,154.68,161.92,164.21,160.91
A,109.78,126.42,141.08,151.27,151.41,158.18,152.9,148.0,164.41,168.84,163.31,159.29,178.43,179.37,178.47,175.63,164.92,167.75,166.97,167.1
B,131.2,149.54,169.03,176.27,159.56,164.46,167.02,168.88,171.67,173.25,174.23,174.7,176.87,178.21,179.09,179.82,164.26,168.56,171.06,172.74
B,129.17,148.01,167.04,179.29,159.91,165.0,167.99,170.25,171.82,173.18,174.5,175.35,177.03,178.57,179.0,179.23,163.7,168.58,170.97,172.53
A,114.24,128.87,138.09,148.32,153.76,160.13,153.81,150.53,166.37,169.75,163.48,163.27,179.7,179.09,176.43,175.72,162.9,167.24,168.82,168.15
A,122.63,133.18,143.8,154.27,157.76,160.72,154.83,153.68,169.78,170.27,164.13,165.41,176.3,178.36,177.62,179.14,160.07,166.67,168.83,166.59
A,111.77,125.3,137.91,148.11,150.96,155.79,149.51,145.84,163.59,165.73,159.49,158.56,177.75,177.12,173.55,173.58,165.05,171.19,172.56,171.56
B,130.87,149.25,168.88,176.89,158.72,164.94,168.26,170.53,171.43,173.9,175.48,176.3,176.7,177.66,177.98,178.25,162.65,167.25,169.66,171.43
A,111.58,123.01,135.65,146.72,148.11,153.48,147.79,143.97,161.3,164.11,158.18,156.22,175.76,176.11,172.67,171.16,166.97,172.04,173.07,172.89
A,114.21,130.08,139.26,148.25,155.31,160.36,153.67,151.51,167.72,169.55,162.86,164.63,178.38,179.22,175.8,177.24,161.44,167.09,169.58,167.61
A,122.13,134.65,144.49,154.32,159.33,161.91,154.77,154.54,172.09,171.95,164.01,166.43,173.36,175.85,178.51,179.11,156.95,163.3,166.54,164.15
B,132.25,151.51,171.77,172.87,161.98,166.38,168.67,170.37,173.38,174.75,175.72,176.19,175.76,177.26,177.99,178.59,163.5,167.75,169.9,171.2
B,134.48,151.05,170.05,175.95,156.4,162.35,165.54,167.79,168.77,171.13,172.45,173.24,179.2,179.98,179.21,178.65,165.25,169.33,172.26,174.32
B,131.04,150.08,169.42,176.14,160.12,164.63,166.96,168.81,171.65,172.93,173.89,174.49,177.26,178.85,179.73,179.67,164.55,169.06,171.64,173.22
A,114.98,129.72,141.31,151.87,155.31,160.56,154.05,152.42,168.51,171.26,163.62,163.21,176.74,176.33,178.8,177.78,159.69,163.62,164.76,163.94
A,111.07,119.02,131.58,143.8,149.17,155.6,149.91,143.15,163.48,165.81,161.1,155.86,178.65,176.91,174.42,171.48,165.18,171.66,172.66,172.64
B,121.56,144.9,165.54,178.37,158.57,163.09,165.38,167.09,170.59,171.73,172.33,172.55,178.02,179.97,178.99,178.23,165.37,169.94,172.38,174.01
A,109.01,118.85,130.66,142.49,148.41,154.95,149.29,144.19,161.83,164.36,159.33,156.32,176.08,175.03,172.42,171.06,167.61,173.2,174.15,174.22
B,127.59,146.49,167.12,177.17,155.38,160.22,162.81,164.8,167.55,169.11,169.92,170.36,178.75,177.93,176.88,176.11,168.46,171.94,174.54,176.35
B,128.86,148.83,170.28,172.28,159.93,164.56,167.07,169.03,171.78,172.9,173.8,174.35,176.93,178.69,179.41,179.86,164.02,168.69,171.0,172.29
B,134.03,153.53,172.32,173.4,162.66,167.61,170.17,172.07,173.97,175.64,176.79,177.51,175.01,176.01,176.6,177.13,162.15,166.0,168.17,169.53
B,130.83,150.9,170.34,175.39,162.73,167.47,169.83,171.6,174.81,175.99,176.84,177.29,174.09,175.81,176.69,177.27,161.49,166.27,168.76,170.31
B,127.82,147.9,166.71,180.0,157.71,164.39,167.55,169.65,170.13,173.13,174.62,175.18,178.22,178.83,179.16,179.65,164.77,168.97,171.31,172.99
A,122.51,136.05,146.94,157.59,161.62,167.15,159.88,158.1,174.23,177.23,169.23,169.53,171.45,171.16,176.32,176.07,154.96,158.97,160.81,159.25
A,115.18,128.14,140.92,152.93,153.31,159.42,153.4,150.88,166.35,169.75,163.83,162.22,179.04,178.08,178.93,176.86,162.41,166.38,165.84,164.76
B,132.51,150.67,169.4,176.82,159.65,165.58,168.74,170.91,171.85,174.41,175.83,176.55,176.6,177.29,177.61,177.87,162.83,167.15,169.47,171.11
A,101.6,122.69,138.51,148.56,149.28,156.87,150.88,145.32,162.62,167.48,160.67,155.06,176.46,179.24,176.65,173.25,166.09,168.92,167.63,168.37
A,107.28,126.31,138.04,148.49,153.34,160.99,154.7,149.69,166.42,171.2,164.74,161.81,179.38,177.52,178.58,175.99,162.01,165.53,165.26,165.02
B,127.26,149.61,168.91,177.13,160.61,165.87,168.4,170.35,173.18,174.75,175.57,176.08,175.01,176.26,177.25,178.0,162.01,166.07,168.69,170.47
A,107.9,122.88,137.51,148.67,148.27,155.79,149.77,145.26,161.37,166.6,160.2,155.66,175.81,179.02,176.06,171.6,167.01,169.33,168.0,168.48
B,127.7,147.36,167.89,176.53,156.13,162.47,165.55,167.6,168.39,171.14,172.54,173.01,179.92,179.35,179.05,178.51,167.06,170.82,172.92,174.5
B,131.45,150.8,170.0,175.98,161.45,166.9,169.87,171.99,173.48,175.49,176.85,177.58,175.55,176.45,176.86,177.19,162.52,166.94,169.1,170.55
A,106.58,122.17,135.9,146.72,148.49,153.64,147.16,144.34,161.43,164.48,157.57,155.41,175.67,176.36,172.85,170.83,167.34,171.52,171.8,171.55
B,135.23,153.3,174.05,169.54,160.2,165.78,168.73,170.89,172.36,174.48,175.88,176.62,175.92,176.89,177.49,178.05,162.6,166.69,169.27,171.08
B,129.15,148.13,166.92,178.99,156.44,161.7,164.5,166.59,168.45,170.13,171.26,171.84,179.57,178.24,177.53,176.89,167.67,172.19,174.57,176.29
A,116.08,125.94,137.68,149.23,155.9,162.06,156.0,151.18,170.51,172.75,168.01,164.57,173.89,174.54,176.6,179.92,157.29,162.07,160.94,161.2
B,124.17,144.39,163.38,176.45,160.75,165.31,167.74,169.62,172.97,173.88,174.71,175.21,175.83,177.76,178.47,178.94,162.75,167.81,170.47,172.27
A,123.2,136.29,146.44,156.23,160.25,164.2,157.37,156.6,173.68,174.38,166.87,169.12,171.32,173.64,178.88,176.58,154.96,161.51,164.02,160.92
B,128.32,150.06,169.49,176.26,162.04,166.29,168.29,169.78,173.38,174.32,174.76,174.87,176.14,177.7,178.66,179.38,164.07,168.1,170.52,172.1
A,111.18,124.3,137.64,149.35,150.81,156.4,150.08,147.69,164.04,167.12,160.62,159.72,178.57,179.67,176.71,175.67,164.57,167.9,167.72,167.0
A,113.79,127.59,137.81,148.68,152.93,157.12,149.88,149.06,165.98,167.66,159.65,160.85,179.22,179.88,174.84,175.29,162.5,167.0,168.91,167.67
B,129.87,148.76,169.54,174.11,158.15,164.01,166.93,169.02,170.29,172.79,174.09,174.79,178.11,178.46,178.88,179.35,165.35,168.55,170.54,171.84
B,134.7,153.56,172.59,173.08,163.0,168.7,171.62,173.63,174.62,177.19,178.57,179.21,174.33,174.57,175.02,175.57,161.52,164.7,166.85,168.37
A,110.78,126.35,136.96,147.47,150.83,155.26,148.85,147.95,164.0,165.98,158.29,159.24,178.64,178.67,172.9,172.94,163.71,168.55,170.63,169.54
A,101.8,117.54,131.64,143.48,144.57,151.77,145.27,141.46,157.87,162.68,156.26,153.21,172.41,174.93,171.61,167.69,170.78,173.48,172.73,173.29
B,128.4,147.93,167.0,178.89,160.49,164.78,166.92,168.65,172.41,173.31,174.01,174.46,176.69,178.71,179.76,179.57,164.42,169.26,171.8,173.39
B,128.1,151.24,172.2,171.38,164.02,168.95,171.26,173.12,175.85,177.28,178.09,178.52,172.45,174.14,175.04,175.65,159.06,163.46,165.96,167.62
B,133.97,155.19,174.44,170.58,164.98,169.79,172.07,173.72,176.92,178.2,178.8,178.96,171.85,173.47,174.47,175.38,159.44,163.77,166.26,168.1
A,113.31,126.48,137.54,148.67,151.62,157.7,150.79,148.15,165.45,168.67,161.76,160.79,179.39,178.59,176.77,174.66,161.94,166.04,166.99,166.94
A,115.88,126.51,137.93,149.99,154.08,159.32,152.29,148.24,167.59,168.92,161.97,160.68,177.28,178.98,176.18,175.29,159.95,167.0,168.49,166.77
A,117.98,130.53,140.64,150.98,154.97,158.38,151.78,151.26,167.98,168.57,161.28,163.59,177.18,179.17,175.51,177.49,160.67,166.99,169.51,166.65
B,126.5,145.71,166.91,176.41,156.46,162.87,166.27,168.72,169.71,172.16,173.44,174.13,177.4,178.7,179.43,179.92,162.78,167.73,170.4,172.2
A,110.47,125.32,136.04,147.45,151.0,156.62,149.36,147.15,163.88,166.83,159.26,158.79,178.2,178.57,173.74,173.11,164.86,168.94,170.39,169.64
A,108.05,118.06,130.53,142.5,149.98,155.95,148.64,143.98,164.17,165.48,159.05,157.85,179.56,177.68,174.1,173.37,163.13,169.65,170.46,169.63
B,134.18,153.43,174.5,168.98,158.39,165.37,168.7,170.82,171.11,174.36,175.94,176.65,176.91,176.74,177.08,177.48,163.35,166.44,168.8,170.44
B,124.7,145.5,165.13,179.99,160.77,166.09,168.89,170.92,172.58,174.88,176.0,176.57,176.7,176.67,177.14,177.7,164.51,167.2,169.03,170.33
A,116.13,124.32,136.1,147.72,154.48,161.42,154.73,148.93,169.22,171.59,165.84,162.32,175.09,176.28,178.84,178.94,158.08,163.79,163.5,163.85
A,109.62,122.95,134.61,146.59,147.06,156.5,150.36,145.41,160.44,167.76,162.01,157.42,175.12,179.79,177.36,171.99,168.2,167.9,167.0,168.81
A,110.37,124.21,137.35,148.74,149.43,155.35,150.31,146.91,162.52,166.27,161.12,158.08,176.88,178.58,177.2,175.18,165.66,169.41,167.74,167.17
B,128.28,148.16,168.53,175.81,160.1,165.3,168.04,170.05,171.67,173.89,175.1,175.73,177.44,177.67,178.11,178.58,165.1,167.84,169.74,170.95
B,132.13,152.14,173.52,168.69,161.15,166.03,168.71,170.86,173.0,174.44,175.69,176.63,175.38,176.83,177.4,177.68,161.94,166.36,168.86,170.37
A,110.69,127.61,137.6,147.97,153.22,160.47,154.09,150.62,165.94,170.43,163.97,162.38,179.64,178.44,177.72,175.97,163.91,166.52,166.39,165.92
A,114.97,128.56,139.39,150.98,153.9,159.27,151.3,149.74,167.59,170.65,162.19,162.38,176.98,176.6,178.46,178.41,159.25,163.46,164.54,163.53
A,109.08,124.04,137.82,147.65,147.61,153.79,149.15,145.52,160.09,164.46,159.14,155.7,173.85,175.9,173.5,170.78,169.57,172.82,172.36,171.93
A,104.28,118.65,132.92,143.66,145.15,151.89,145.69,142.5,158.23,162.97,156.35,153.45,172.53,175.07,172.07,169.14,170.67,172.66,171.91,172.78
B,126.84,145.67,164.23,177.8,155.78,161.95,165.01,167.08,168.69,171.42,172.92,173.54,179.71,179.64,179.69,179.97,166.37,169.91,172.08,173.78
A,109.05,122.14,134.72,145.89,148.68,153.46,147.03,144.72,161.54,163.76,157.46,157.21,175.75,175.78,172.39,172.1,167.11,171.83,173.01,172.7
B,129.38,150.26,169.76,175.75,158.92,164.05,166.44,168.22,171.13,172.58,173.36,173.79,177.44,178.61,179.52,179.79,164.41,168.41,171.04,172.84
A,117.96,130.92,141.14,152.82,155.84,161.3,154.64,152.85,169.31,171.92,164.92,164.45,175.61,175.61,179.78,178.94,158.64,162.48,163.49,163.75
A,103.94,117.66,130.85,141.22,142.64,149.82,145.6,140.37,155.56,160.35,155.49,150.28,169.51,171.76,169.01,165.46,174.08,177.03,177.32,177.79
B,130.79,148.36,168.16,176.49,155.39,162.49,165.92,168.18,168.03,171.54,173.29,174.02,179.81,179.87,179.77,179.24,166.48,169.98,172.16,173.87
A,106.61,120.98,133.58,144.7,151.7,158.89,151.76,148.29,164.92,169.01,161.66,160.02,179.36,179.41,175.8,173.45,164.53,167.51,168.62,168.51
B,123.57,145.83,166.18,178.68,158.02,162.35,164.49,166.18,169.48,170.41,171.07,171.44,179.77,178.45,177.51,176.74,167.62,172.0,174.34,175.99
A,113.79,126.06,138.09,147.57,148.81,154.06,149.35,145.68,160.82,163.79,158.66,156.27,174.5,175.39,171.95,169.98,169.0,173.47,174.86,174.72
A,115.03,126.4,138.55,149.26,155.74,162.62,155.5,150.85,170.42,173.3,167.53,164.19,173.98,173.88,176.62,179.93,157.37,161.54,160.26,159.73
A,112.41,126.66,140.18,149.83,150.32,157.36,151.83,147.28,163.06,167.91,162.19,159.35,177.08,179.75,177.06,175.08,165.5,168.59,168.57,168.42
A,126.7,138.68,147.9,159.15,161.95,168.26,161.25,159.34,174.92,179.45,171.81,169.91,170.02,167.73,171.23,173.82,153.8,155.21,154.55,154.97
B,135.58,152.77,172.56,171.3,159.05,164.66,167.47,169.48,170.84,173.0,174.39,175.13,177.43,178.44,178.9,179.39,164.41,168.55,170.92,172.45
B,126.34,148.13,168.97,174.42,156.57,162.61,165.39,167.43,169.47,171.67,172.62,173.16,178.26,179.19,179.92,179.17,164.67,168.46,171.08,173.09
A,109.03,126.02,136.45,147.38,152.74,160.06,153.56,148.85,165.51,170.19,163.54,160.4,179.2,178.9,177.16,174.29,164.08,166.91,167.31,167.8
A,121.43,134.19,143.55,152.6,157.94,159.05,152.34,153.3,170.83,169.08,161.18,165.32,174.52,179.47,174.76,179.27,158.2,167.3,170.58,165.81
A,107.24,122.55,135.62,146.18,149.75,154.45,147.07,145.92,162.69,164.92,155.89,156.72,177.45,177.31,171.11,171.78,164.85,169.67,171.84,169.61
A,99.26,122.98,138.37,148.69,149.37,156.6,150.51,145.81,162.97,167.42,161.08,157.79,177.43,179.95,177.82,174.72,165.4,167.52,165.91,166.22
B,127.41,149.06,169.78,174.09,159.74,165.27,167.81,169.75,172.16,173.83,174.59,175.0,176.05,177.24,178.16,178.91,162.89,166.89,169.42,171.19
A,120.39,132.24,141.8,153.76,158.14,162.02,154.68,153.87,171.8,172.57,165.02,166.79,172.85,174.93,179.93,179.07,155.56,161.93,163.97,161.8
A,107.1,121.38,134.05,144.67,146.07,151.2,145.18,141.39,158.99,161.84,155.68,154.09,173.28,173.73,170.4,169.87,169.51,174.66,175.28,173.9
B,129.12,150.64,170.14,175.59,159.06,164.54,166.95,168.8,171.41,173.23,173.97,174.43,176.85,177.97,179.01,179.77,163.93,167.71,170.37,172.16
B,131.34,150.21,170.92,173.11,158.9,164.19,166.9,168.84,171.32,172.92,173.98,174.43,176.86,178.27,179.03,179.75,163.96,168.47,170.98,172.71
A,113.41,122.84,134.26,144.45,154.24,159.18,151.89,147.4,168.56,169.45,162.73,161.51,176.28,178.26,178.12,177.55,159.34,164.94,166.37,166.78
B,139.57,155.64,174.21,171.02,160.27,166.74,169.92,172.1,172.38,175.38,176.96,177.85,175.94,175.86,176.01,176.27,162.55,165.64,167.89,169.43
A,107.38,124.05,135.05,146.11,150.78,158.26,151.71,146.7,163.79,168.72,161.98,158.49,177.7,179.82,175.86,172.77,165.45,168.17,168.13,168.42
A,111.12,127.33,140.67,150.69,153.75,158.82,151.65,150.42,166.66,169.59,161.0,161.77,178.87,178.12,175.6,175.39,161.64,166.24,168.48,167.3
B,129.89,149.96,170.16,174.16,160.55,165.89,168.61,170.64,172.43,174.5,175.69,176.29,176.33,176.99,177.47,178.05,163.97,167.37,169.23,170.52
A,107.66,116.62,129.16,141.17,145.68,154.55,148.58,141.32,160.41,164.92,159.92,154.68,176.03,176.93,174.44,171.03,166.76,171.58,171.26,171.51
B,129.76,152.19,173.41,169.61,164.76,170.01,172.62,174.67,177.16,178.88,179.73,179.79,170.94,172.07,173.03,173.76,157.56,161.47,164.08,165.99
A,106.57,122.11,135.49,145.49,145.88,151.33,146.16,143.1,158.32,161.94,156.01,153.71,172.16,173.58,170.47,168.42,171.03,174.91,175.15,174.73
B,127.0,144.76,163.47,177.88,155.17,161.35,164.55,166.71,167.78,170.64,172.33,173.17,179.36,179.23,179.14,178.88,167.01,170.72,173.09,174.83
B,128.58,150.02,170.43,174.34,159.95,165.32,167.97,169.9,172.22,173.94,174.89,175.34,176.24,177.5,178.21,178.82,163.47,167.59,170.09,171.83
B,128.49,148.72,168.58,176.67,159.73,164.37,166.86,168.77,171.75,172.66,173.55,174.07,176.93,178.93,179.73,179.67,164.05,168.62,171.09,172.74
B,136.15,154.53,174.11,170.67,160.64,167.04,170.46,172.9,173.21,176.31,177.7,178.52,174.94,174.54,174.99,175.35,161.16,164.35,166.61,168.1
A,106.04,122.07,136.22,146.52,148.55,154.45,148.14,143.88,161.44,164.9,158.3,154.83,175.57,176.57,173.5,171.23,167.58,171.65,171.63,171.36
B,130.44,152.61,171.76,174.61,161.49,166.27,168.78,170.69,173.54,174.81,175.53,175.91,175.28,176.78,177.89,178.69,163.05,167.24,169.63,171.31
A,104.19,123.44,138.59,148.42,149.92,156.27,149.92,146.36,162.6,166.84,159.82,157.65,176.44,178.91,175.74,173.89,166.46,168.69,168.19,168.0
A,108.98,122.89,135.45,145.21,146.45,152.02,147.42,143.92,158.91,162.47,157.05,154.18,172.82,174.13,171.12,168.63,170.43,174.84,175.53,175.47
B,128.24,149.64,168.74,176.27,160.53,165.91,168.5,170.48,173.12,174.72,175.57,176.08,175.03,176.28,177.23,177.96,161.76,166.13,168.71,170.48
A,121.78,134.82,144.53,154.39,159.34,162.06,155.63,155.49,172.0,172.18,165.14,167.68,173.44,176.04,179.19,178.36,157.09,163.7,165.95,162.85
A,107.48,122.49,135.46,145.59,145.64,150.95,145.86,142.94,157.93,161.4,155.77,154.48,171.75,173.03,170.01,169.36,171.39,175.48,176.33,175.45
B,126.55,147.65,166.8,178.79,158.8,164.49,167.36,169.4,170.92,173.02,174.29,174.94,178.1,178.65,179.07,179.47,165.56,169.19,171.41,172.9
A,118.73,130.31,141.34,150.9,156.46,158.15,151.46,150.93,168.28,167.47,160.01,163.08,178.02,178.93,173.52,176.91,161.67,168.97,172.1,168.7
B,132.74,150.29,170.06,175.13,157.52,163.44,166.35,168.39,169.91,172.37,173.71,174.32,178.49,178.99,179.53,179.93,165.38,169.25,171.63,173.38
B,130.83,147.8,165.36,178.45,156.67,162.84,166.07,168.29,168.97,171.77,173.43,174.33,179.31,179.95,179.69,179.44,165.53,169.91,172.33,174.01
B,129.44,147.96,167.79,176.41,156.54,162.68,165.74,167.85,168.66,171.29,172.63,173.17,179.64,179.8,179.34,178.65,166.55,170.43,172.6,174.24
A,119.97,130.44,142.18,153.99,154.72,159.96,154.05,151.93,167.48,170.18,164.59,163.88,178.15,177.61,179.22,177.64,162.13,166.02,166.16,165.28
B,139.03,157.12,176.65,169.1,163.24,169.08,172.31,174.6,175.59,178.11,179.51,179.83,172.57,173.02,173.65,174.24,158.87,162.89,165.28,166.86
A,120.92,133.08,142.85,153.89,157.36,162.14,155.3,154.28,170.28,172.78,165.27,165.6,174.85,174.91,179.6,179.68,158.17,162.36,163.93,162.94
B,138.62,155.98,174.32,171.53,162.17,167.99,170.89,172.84,173.82,176.47,177.97,178.75,175.05,175.42,175.62,175.9,162.15,165.86,168.04,169.51
B,134.35,153.88,173.95,171.8,159.83,166.64,170.23,172.68,172.57,175.9,177.42,178.17,174.93,174.91,175.36,175.89,160.78,164.37,166.73,168.43
B,128.12,148.96,168.41,177.73,160.2,164.84,167.49,169.48,172.05,173.11,174.06,174.55,177.13,178.51,179.21,179.85,164.56,168.83,171.1,172.66
B,126.88,146.98,166.07,179.23,160.02,165.17,167.93,170.0,172.18,174.26,175.39,176.02,176.76,176.97,177.51,178.1,164.36,167.7,169.93,171.57
B,136.45,155.0,174.01,170.9,163.03,169.12,172.18,174.31,174.95,177.6,179.16,179.98,173.69,173.86,174.05,174.4,160.67,163.97,166.11,167.51
B,135.95,154.74,173.83,171.87,161.78,167.94,171.18,173.34,174.0,176.85,178.42,179.18,174.45,174.22,174.44,174.83,161.06,164.32,166.44,167.93
B,126.0,145.27,165.24,179.11,155.53,161.47,164.37,166.46,168.01,170.45,171.79,172.37,179.7,179.27,179.01,178.54,167.3,170.9,173.02,174.62
A,111.31,127.17,136.48,146.65,152.35,158.79,152.84,149.29,165.69,168.77,162.79,162.22,179.56,179.26,176.87,176.16,161.81,166.52,166.98,165.97
A,94.71,119.5,134.86,145.11,144.11,153.74,148.51,142.5,156.75,164.92,159.98,153.38,170.06,176.72,175.79,168.74,175.1,171.91,169.16,173.05
A,118.59,131.79,141.68,150.31,156.35,157.25,150.12,151.15,168.88,166.82,158.42,162.79,176.92,178.27,171.66,176.73,160.41,169.22,173.47,168.54
B,128.56,145.57,164.64,176.66,150.27,159.1,163.56,166.27,162.3,167.86,170.54,171.74,173.71,175.65,176.14,175.95,172.99,174.63,176.52,178.41
B,137.37,155.31,174.7,169.93,164.78,170.67,173.51,175.6,176.72,179.31,179.54,178.93,171.81,172.02,172.63,173.16,158.7,161.89,164.02,165.49
B,133.1,150.61,169.91,175.24,157.95,163.58,166.48,168.53,169.59,171.97,173.37,174.07,179.13,179.95,179.53,178.94,166.42,170.17,172.34,173.88
A,113.94,127.43,138.84,149.4,153.7,157.57,150.6,149.66,166.87,168.24,160.55,161.75,178.46,178.73,175.84,175.86,160.54,166.22,167.62,166.44
A,115.87,129.45,138.5,148.85,154.82,160.56,154.07,151.23,167.1,169.82,163.43,163.77,179.21,179.23,176.28,176.29,162.46,167.6,169.47,168.2
A,106.98,122.43,135.65,146.26,147.98,154.0,146.55,144.87,161.29,164.43,155.45,155.89,176.42,176.8,170.29,169.85,165.96,171.02,172.83,170.68
A,105.57,120.22,134.05,143.59,145.42,151.3,146.36,143.48,157.74,162.13,156.65,153.86,171.14,173.75,170.86,168.2,172.7,174.73,175.32,176.49
A,114.16,127.21,138.39,150.66,152.82,158.78,151.67,149.45,166.23,169.56,162.09,161.1,178.76,178.13,177.24,175.28,161.99,165.85,166.59,166.19
A,115.93,128.58,138.62,149.3,153.23,158.17,150.83,149.05,166.44,168.76,160.87,160.99,178.74,178.98,175.9,175.71,161.94,166.6,168.48,167.23
B,135.09,152.28,170.48,176.26,159.41,165.06,168.12,170.32,171.45,173.84,175.39,176.27,177.0,177.7,178.1,178.52,164.12,168.1,170.3,171.71
B,130.48,147.6,166.89,178.57,154.97,160.81,163.94,166.17,167.09,169.43,170.82,171.57,178.44,177.62,177.2,176.86,168.29,172.35,174.67,176.33
B,131.87,150.95,169.54,176.88,156.98,162.36,165.11,167.05,168.65,170.69,171.91,172.56,179.92,179.07,178.5,177.97,167.08,170.93,173.14,174.73
A,105.8,117.82,131.75,144.95,146.97,154.69,148.8,144.23,160.21,165.1,159.21,155.45,174.72,176.66,173.95,171.02,168.6,171.65,171.31,171.97
A,109.37,125.8,138.05,148.07,152.13,156.27,149.49,148.84,165.17,166.7,158.19,159.41,179.73,179.07,172.76,173.54,162.62,167.93,169.91,167.63
B,132.09,150.17,169.59,175.27,160.05,164.91,167.46,169.41,171.96,173.07,174.03,174.52,176.82,178.44,179.24,179.81,164.11,168.6,171.14,172.67
A,106.4,120.88,134.7,144.82,144.47,151.27,147.13,142.87,157.24,161.81,157.04,153.02,171.32,173.21,170.93,167.86,171.5,175.41,175.05,174.88
A,106.95,118.74,132.28,145.35,147.81,154.88,149.33,144.73,161.22,165.16,159.95,156.61,175.6,176.88,174.16,171.19,168.04,171.8,172.0,172.71
B,125.87,146.85,167.49,175.84,159.63,165.58,168.4,170.46,171.73,174.2,175.38,175.98,176.94,177.15,177.55,178.03,164.13,167.22,168.98,170.2
A,118.41,130.37,140.28,152.43,155.51,159.58,152.35,151.81,168.99,170.16,162.41,164.04,175.97,177.11,177.26,177.69,159.04,164.66,167.05,165.41
A,107.04,121.58,135.4,146.39,147.17,152.9,147.41,143.85,160.06,163.81,158.08,154.75,174.23,175.55,173.02,170.26,169.0,172.68,172.59,173.04
B,130.26,150.16,169.07,176.59,161.63,166.38,168.78,170.49,172.87,174.37,175.47,176.07,176.45,177.73,178.14,178.55,164.01,168.15,170.26,171.65
B,130.39,149.82,169.25,175.97,159.76,165.79,169.01,171.26,171.86,174.43,176.01,176.9,176.53,177.0,176.98,177.19,163.29,166.75,168.87,170.46
B,122.25,146.8,167.65,176.84,160.22,164.64,167.14,169.05,172.31,173.25,174.03,174.49,176.48,178.37,179.41,179.86,164.1,168.49,170.85,172.52
B,124.96,145.08,165.34,179.84,156.76,161.62,164.19,166.16,169.29,170.31,171.07,171.57,178.97,179.03,177.97,177.39,165.96,170.76,173.27,174.86
B,121.06,142.25,163.09,179.83,155.79,160.67,163.48,165.58,167.46,169.17,170.36,171.05,178.52,177.4,176.94,176.56,168.99,172.7,174.64,175.93
A,115.75,129.83,140.67,151.98,156.01,159.81,152.51,152.01,169.47,170.7,162.37,164.27,175.53,176.58,177.73,178.89,158.01,163.6,165.57,163.98
A,114.54,130.29,140.87,151.15,154.71,159.24,152.26,151.41,167.31,168.84,160.55,162.4,178.48,179.35,174.56,176.08,162.06,167.06,169.92,167.68
A,108.78,123.47,137.05,148.05,150.5,154.97,148.48,146.05,163.14,165.82,159.05,157.49,177.12,178.06,174.92,173.84,165.51,170.11,169.98,169.54
A,121.92,133.24,143.02,153.19,157.75,159.66,152.76,152.78,170.48,169.04,161.62,165.4,174.88,179.91,174.86,179.09,158.36,167.88,170.62,165.84
B,127.15,144.9,163.26,176.69,150.59,156.53,159.32,161.29,162.8,165.18,166.43,166.97,174.34,173.38,172.56,171.84,172.65,176.67,179.26,178.95
A,111.74,125.17,138.84,149.68,150.52,156.69,151.34,147.32,163.4,167.57,162.03,158.12,177.36,179.29,176.97,174.0,165.89,169.5,168.9,168.91
B,127.75,145.56,165.3,179.77,154.59,160.4,163.39,165.37,166.95,169.51,170.68,171.03,178.3,177.85,177.05,176.23,168.79,172.14,174.61,176.47
A,104.11,116.08,129.91,141.19,140.79,149.01,144.03,138.69,154.24,159.38,154.12,149.17,168.53,170.94,167.58,163.7,174.35,177.69,178.7,179.79
A,115.85,129.59,139.15,148.99,154.32,157.25,150.29,149.38,167.01,167.22,159.43,161.23,178.47,179.41,173.96,175.67,161.26,167.68,169.83,167.05
A,123.24,135.51,145.21,156.37,158.27,164.32,158.14,155.87,172.28,175.13,168.89,168.34,172.27,172.11,175.9,177.32,155.83,159.85,160.43,159.71
A,105.67,121.34,135.01,144.6,144.26,151.71,147.02,142.44,157.13,162.54,157.0,152.62,170.95,173.71,170.81,167.36,171.99,175.13,175.3,175.59
