Label,Line_0_1,Line_1_2,Line_2_3,Line_3_4,Line_0_5,Line_5_6,Line_6_7,Line_7_8,Line_0_9,Line_9_10,Line_10_11,Line_11_12,Line_0_13,Line_13_14,Line_14_15,Line_15_16,Line_0_17,Line_17_18,Line_18_19,Line_19_20
B,131.77,152.68,171.87,174.31,158.42,164.71,167.67,169.74,170.9,173.3,174.5,175.08,177.51,178.08,178.72,179.24,164.25,167.8,170.28,172.05
B,129.57,149.91,169.67,175.26,160.5,165.88,168.42,170.35,172.69,174.42,175.13,175.53,175.76,176.81,177.8,178.58,162.85,166.56,168.94,170.63
A,106.75,116.48,129.24,141.07,146.1,154.54,149.29,142.26,161.1,165.52,160.94,154.76,176.61,177.05,174.91,171.07,167.11,171.72,171.3,171.45
A,123.93,136.76,146.95,157.3,161.13,166.52,159.74,158.16,174.5,176.75,169.48,170.25,170.6,171.0,175.92,175.71,154.44,158.73,160.35,158.82
A,114.42,127.42,138.15,149.42,152.22,157.4,150.25,148.48,165.53,167.94,160.15,159.83,179.53,179.58,175.47,174.54,162.25,166.96,167.95,166.71
A,115.56,128.29,140.43,151.9,154.5,157.51,150.97,149.92,167.2,167.58,160.9,162.29,178.47,179.76,175.44,176.35,161.37,167.83,169.51,167.74
B,131.9,151.97,170.82,175.48,160.24,166.33,169.24,171.2,172.79,175.08,176.21,176.68,175.53,176.22,176.77,177.34,162.11,166.16,168.73,170.71
B,128.93,147.79,166.66,179.1,155.53,161.22,163.98,165.94,167.5,169.58,170.77,171.36,178.73,177.78,177.08,176.49,168.35,172.38,174.87,176.62
A,114.34,127.65,139.41,149.72,153.27,157.15,150.67,148.06,165.93,167.28,160.66,160.65,179.78,179.21,175.27,175.46,162.73,168.74,170.13,168.73
A,120.12,132.51,142.07,153.12,156.63,161.1,154.21,153.19,169.82,171.41,164.0,165.33,175.36,175.9,178.95,179.56,158.83,163.44,165.67,164.19
B,129.16,149.72,170.41,173.66,162.38,166.4,168.61,170.47,173.77,174.62,175.28,175.74,175.47,177.04,178.1,178.85,163.46,167.71,170.09,171.58
B,130.37,149.09,169.32,175.59,158.24,164.59,167.87,170.2,171.46,173.89,175.32,176.14,176.39,177.16,177.72,178.05,162.53,166.65,169.18,170.89
A,114.06,129.27,140.17,150.56,153.53,158.58,151.89,150.84,166.53,168.73,160.85,162.3,178.88,179.32,174.77,175.8,161.79,167.17,169.33,166.62
